iOS 버전,OS,디바이스,개발자
iOS 9.2 - 9.3.3,Pangu - iOS 내 탈옥,해당 버전 모든 기기(64-bit 기기 전용),PanguTeam
iOS 9.1 - 9.3.4,JailbreakMe 4.0 - iOS 내 탈옥,해당 버전 모든 기기(32-bit 기기 전용),tihmstar
iOS 9.3.5,Phoenix - iOS 내 탈옥,해당 버전 모든 기기(32-bit 기기 전용),Siguza & tihmstar
iOS 10.x,h3lix - iOS 내 탈옥,해당 버전 모든 기기(32-bit 기기 전용),Tihmstar
iOS 10.x,TotallyNotSpyware - iOS 내 탈옥,해당 버전 모든 기기,Jake Blair 외 다수
iOS 10.x,doubleh3lix - iOS 내 탈옥,해당 버전 모든 기기(64-bit A7-A9 전용),Tihmstar
iOS 10.x,Meridian - iOS 내 탈옥,해당 버전 모든 기기,PsychoTea
iOS 11.x,Electra - iOS 내 탈옥[주의!],해당 버전 모든 기기,CoolStar
"iOS 12 - 12.1.2, iOS 12.1.3 - iOS 12.2[제한적], iOS 12.4[제한적]",Chimera - iOS 내 탈옥[주의!],해당 버전 모든 기기,CoolStar
"iOS 11 - iOS 12.2, iOS 12.4",unc0ver - iOS 내 탈옥[주의!],해당 버전 모든 기기,pwn20wnd